"id","uuid_key","district_id","code","name","status","created_by","created_at","created_client","updated_by","updated_at","updated_client","deleted","kemendagri_code"
3653,"1472ce5e-22de-4a54-9ce7-45872b9b891c",245,"3518100",Patianrowo,A,43,2021-08-27 12:09:13:356216,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:356216,c1bbb0d29b3b4864b491bf38851b3821,false,
3656,"5d55a8cd-f7b8-43e0-8ad0-4af0d2368a47",245,"3518130",Sukomoro,A,43,2021-08-27 12:09:13:368173,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:368173,c1bbb0d29b3b4864b491bf38851b3821,false,
3659,"0bf0ccae-3901-41b9-9d5a-61858230c684",245,"3518160",Wilangan,A,43,2021-08-27 12:09:13:383812,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:383812,c1bbb0d29b3b4864b491bf38851b3821,false,
3662,"5f89d47b-087a-4311-8ee8-8a7b8832c7dd",245,"3518190",Lengkong,A,43,2021-08-27 12:09:13:396217,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:396217,c1bbb0d29b3b4864b491bf38851b3821,false,
3665,"82b34960-ad2a-4f72-82e9-b193292e4b6d",246,"3519020",Geger,A,43,2021-08-27 12:09:13:409556,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:409556,c1bbb0d29b3b4864b491bf38851b3821,false,
3668,d2acdae9-4a3d-4931-8246-98e93e8f9bbe,246,"3519050",Wungu,A,43,2021-08-27 12:09:13:422317,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:422317,c1bbb0d29b3b4864b491bf38851b3821,false,
3671,"3ea588cf-27ae-4db6-9a38-e444bebd4ece",246,"3519080",Saradan,A,43,2021-08-27 12:09:13:436226,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:436226,c1bbb0d29b3b4864b491bf38851b3821,false,
3674,ca373e36-1734-4a54-a518-e0555d601a7d,246,"3519110",Wonoasri,A,43,2021-08-27 12:09:13:449198,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:449198,c1bbb0d29b3b4864b491bf38851b3821,false,
3677,f2222c0d-8a03-4587-9858-774a65f8512c,246,"3519140",Sawahan,A,43,2021-08-27 12:09:13:465074,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:465074,c1bbb0d29b3b4864b491bf38851b3821,false,
3681,"9bcd61e9-14a8-4ff5-b4a1-1f72236331b5",247,"3520030",Lembeyan,A,43,2021-08-27 12:09:13:481993,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:481993,c1bbb0d29b3b4864b491bf38851b3821,false,
3684,c891f345-e9f1-4544-86e3-2377c834bc91,247,"3520050",Kawedanan,A,43,2021-08-27 12:09:13:494237,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:494237,c1bbb0d29b3b4864b491bf38851b3821,false,
3687,"35a28ba8-01d0-4e11-8acf-542bcbc8fe7a",247,"3520070",Plaosan,A,43,2021-08-27 12:09:13:508237,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:508237,c1bbb0d29b3b4864b491bf38851b3821,false,
3690,a5631b9c-41e5-455c-94f8-fe98cb097e7f,247,"3520090",Sukomoro,A,43,2021-08-27 12:09:13:521220,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:521220,c1bbb0d29b3b4864b491bf38851b3821,false,
3699,"4e18ddd6-8a3b-47c7-a9db-fe293a691212",248,"3521030",Jogorogo,A,43,2021-08-27 12:09:13:562111,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:562111,c1bbb0d29b3b4864b491bf38851b3821,false,
3693,a4551be9-fa90-4e99-a80d-4017020785ad,247,"3520120",Karangrejo,A,43,2021-08-27 12:09:13:536167,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:536167,c1bbb0d29b3b4864b491bf38851b3821,false,
3696,e3520407-1e18-4d46-a3c4-4ee5d37b4e62,247,"3520131",Kartoharjo,A,43,2021-08-27 12:09:13:548807,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:548807,c1bbb0d29b3b4864b491bf38851b3821,false,
3697,"3b18329c-299c-4aea-b22e-29a2555097dd",248,"3521010",Sine,A,43,2021-08-27 12:09:13:553749,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 12:09:13:553749,c1bbb0d29b3b4864b491bf38851b3821,false,
