"id","uuid_key","country_id","code","name","status","created_by","created_at","created_client","updated_by","updated_at","updated_client","deleted","kemendagri_code"
20,"33b51ad8-4243-4976-9d8b-91d2757e47f6",1,"61",Kalimantan Barat,A,43,2021-08-09 12:01:43:206092,c1bbb0d29b3b4864b491bf38851b3821,77,2022-10-20 14:14:26:640364,"71a66437002f46e7954d45b4d6a3ea00",false,"61"
21,"678f2185-dd8f-44db-9a6c-942a1085e76d",1,"62",Kalimantan Tengah,A,43,2021-08-09 12:01:43:210422,c1bbb0d29b3b4864b491bf38851b3821,77,2022-10-20 14:14:26:649455,"71a66437002f46e7954d45b4d6a3ea00",false,"62"
22,"9fcf1ead-a615-4af8-b1b1-5bcf7e67291e",1,"63",Kalimantan Selatan,A,43,2021-08-09 12:01:43:217455,c1bbb0d29b3b4864b491bf38851b3821,77,2022-10-20 14:14:26:662170,"71a66437002f46e7954d45b4d6a3ea00",false,"63"
23,"15fca877-db31-4958-a8f1-0aa6e605192a",1,"64",Kalimantan Timur,A,43,2021-08-09 12:01:43:222178,c1bbb0d29b3b4864b491bf38851b3821,77,2022-10-20 14:14:26:671338,"71a66437002f46e7954d45b4d6a3ea00",false,"64"
24,de447a20-d11d-46a2-bdf1-446b2f8631ba,1,"65",Kalimantan Utara,A,43,2021-08-09 12:01:43:226341,c1bbb0d29b3b4864b491bf38851b3821,77,2022-10-20 14:14:26:680090,"71a66437002f46e7954d45b4d6a3ea00",false,"65"
25,"93fb106f-5794-49d6-b941-a8f204cba07d",1,"71",Sulawesi Utara,A,43,2021-08-09 12:01:43:230529,c1bbb0d29b3b4864b491bf38851b3821,77,2022-10-20 14:14:26:689282,"71a66437002f46e7954d45b4d6a3ea00",false,"71"
26,"997584f7-dc8d-42d8-b4d3-55e457dea3bf",1,"72",Sulawesi Tengah,A,43,2021-08-09 12:01:43:234844,c1bbb0d29b3b4864b491bf38851b3821,77,2022-10-20 14:14:26:698754,"71a66437002f46e7954d45b4d6a3ea00",false,"72"
27,"0bd5f7a1-2ef5-4fc3-b176-037cbbf18517",1,"73",Sulawesi Selatan,A,43,2021-08-09 12:01:43:240780,c1bbb0d29b3b4864b491bf38851b3821,77,2022-10-20 14:14:26:707811,"71a66437002f46e7954d45b4d6a3ea00",false,"73"
28,a913e6f0-c829-4d0c-ba5c-1780c4f827c9,1,"74",Sulawesi Tenggara,A,43,2021-08-09 12:01:43:245369,c1bbb0d29b3b4864b491bf38851b3821,77,2022-10-20 14:14:26:717286,"71a66437002f46e7954d45b4d6a3ea00",false,"74"
29,"8969de21-d702-4fb7-966c-46634c447398",1,"75",Gorontalo,A,43,2021-08-09 12:01:43:250015,c1bbb0d29b3b4864b491bf38851b3821,77,2022-10-20 14:14:26:727245,"71a66437002f46e7954d45b4d6a3ea00",false,"75"
30,"93b079d0-1aa0-46a7-a2c6-f549aae2a015",1,"76",Sulawesi Barat,A,43,2021-08-09 12:01:43:254612,c1bbb0d29b3b4864b491bf38851b3821,77,2022-10-20 14:14:26:736799,"71a66437002f46e7954d45b4d6a3ea00",false,"76"
31,"040c5b08-98d9-4f5e-bce6-c3f094dae216",1,"81",Maluku,A,43,2021-08-09 12:01:43:259356,c1bbb0d29b3b4864b491bf38851b3821,77,2022-10-20 14:14:26:745712,"71a66437002f46e7954d45b4d6a3ea00",false,"81"
32,"21807e03-7d08-4e18-b0bb-872228b3dd18",1,"82",Maluku Utara,A,43,2021-08-09 12:01:43:265536,c1bbb0d29b3b4864b491bf38851b3821,77,2022-10-20 14:14:26:758734,"71a66437002f46e7954d45b4d6a3ea00",false,"82"
33,"708227bf-da4a-41f0-8918-fb0c5cdb978d",1,"91",Papua Barat,A,43,2021-08-09 12:01:43:269683,c1bbb0d29b3b4864b491bf38851b3821,77,2022-10-20 14:14:26:767780,"71a66437002f46e7954d45b4d6a3ea00",false,"92"
34,"896e79be-5597-40fe-8dae-bd5796e38d48",1,"94",Papua,A,43,2021-08-09 12:01:43:273414,c1bbb0d29b3b4864b491bf38851b3821,77,2022-10-20 14:14:26:776467,"71a66437002f46e7954d45b4d6a3ea00",false,"91"
