"id","uuid_key","province_id","code","name","status","created_by","created_at","created_client","updated_by","updated_at","updated_client","deleted","kemendagri_code"
464,"890a4694-8d77-47e5-80da-a5fe08b0acc3",32,"8202",Kabupaten Halmahera Tengah,A,43,2021-08-27 09:09:02:688380,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:02:688380,c1bbb0d29b3b4864b491bf38851b3821,false,
467,cc03c6f9-269d-4972-9186-8b524ba504e5,32,"8205",Kabupaten Halmahera Utara,A,43,2021-08-27 09:09:02:699998,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:02:699998,c1bbb0d29b3b4864b491bf38851b3821,false,
470,caa52be6-94b5-4f89-8793-95e3303b9f55,32,"8208",Kabupaten Pulau Taliabu,A,43,2021-08-27 09:09:02:712296,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:02:712296,c1bbb0d29b3b4864b491bf38851b3821,false,
473,"975e80c4-55b7-4c49-a9ca-b7940f8fba60",33,"9101",Kabupaten Fakfak,A,43,2021-08-27 09:09:52:836372,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:52:836372,c1bbb0d29b3b4864b491bf38851b3821,false,
476,"532c4dd5-a5c6-4ac3-8c8e-829e05f178d4",33,"9104",Kabupaten Teluk Bintuni,A,43,2021-08-27 09:09:52:850230,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:52:850230,c1bbb0d29b3b4864b491bf38851b3821,false,
479,"62c8b570-6513-47df-b701-7285f91fcdcc",33,"9107",Kabupaten Sorong,A,43,2021-08-27 09:09:52:862857,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:52:862857,c1bbb0d29b3b4864b491bf38851b3821,false,
482,ac66ee9d-c494-4fe8-8a5e-4d9963c2bb37,33,"9110",Kabupaten Maybrat,A,43,2021-08-27 09:09:52:875195,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:52:875195,c1bbb0d29b3b4864b491bf38851b3821,false,
484,b820010c-1f1f-416d-a985-56ebdbf8df84,33,"9112",Kabupaten Pegunungan Arfak,A,43,2021-08-27 09:09:52:886459,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:52:886459,c1bbb0d29b3b4864b491bf38851b3821,false,
487,b19a16bf-1869-496b-91ce-06c31a5256c9,34,"9402",Kabupaten Jayawijaya,A,43,2021-08-27 09:09:52:899342,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:52:899342,c1bbb0d29b3b4864b491bf38851b3821,false,
490,"2d4d1532-0b0e-4adb-adc9-5728d398564c",34,"9408",Kabupaten Kepulauan Yapen,A,43,2021-08-27 09:09:52:911658,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:52:911658,c1bbb0d29b3b4864b491bf38851b3821,false,
493,"4d4b4eac-8058-4fcd-b3f2-7d113f862632",34,"9411",Kabupaten Puncak Jaya,A,43,2021-08-27 09:09:52:923992,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:52:923992,c1bbb0d29b3b4864b491bf38851b3821,false,
495,c5eaea0b-b468-47ac-b58b-da861ccbe9ce,34,"9413",Kabupaten Boven Digoel,A,43,2021-08-27 09:09:52:934228,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:52:934228,c1bbb0d29b3b4864b491bf38851b3821,false,
498,ff7ba4ab-07fd-43e5-a413-560090581c5a,34,"9416",Kabupaten Yahukimo,A,43,2021-08-27 09:09:52:946652,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:52:946652,c1bbb0d29b3b4864b491bf38851b3821,false,
501,"7d83e25d-dac3-4536-8ec9-59f65248c2a3",34,"9419",Kabupaten Sarmi,A,43,2021-08-27 09:09:52:959183,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:52:959183,c1bbb0d29b3b4864b491bf38851b3821,false,
504,"852bd4ae-1f1b-4a65-958b-a889a935ca91",34,"9427",Kabupaten Supiori,A,43,2021-08-27 09:09:52:974659,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:52:974659,c1bbb0d29b3b4864b491bf38851b3821,false,
507,fd5b82e9-042a-443c-8904-f6955dba086b,34,"9430",Kabupaten Lanny Jaya,A,43,2021-08-27 09:09:52:986551,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:52:986551,c1bbb0d29b3b4864b491bf38851b3821,false,
510,"320c647e-918c-4523-8fc0-0ee31c568769",34,"9433",Kabupaten Puncak,A,43,2021-08-27 09:09:52:998839,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:52:998839,c1bbb0d29b3b4864b491bf38851b3821,false,
513,"40651322-e4e0-490f-bd83-dea417b6ad1b",34,"9436",Kabupaten Deiyai,A,43,2021-08-27 09:09:53:011211,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:53:011211,c1bbb0d29b3b4864b491bf38851b3821,false,
445,"59a2a840-6df2-44de-99c9-c4954fae4b7a",29,"7571",Kota Gorontalo,A,43,2021-08-27 09:09:02:601309,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:02:601309,c1bbb0d29b3b4864b491bf38851b3821,false,
448,ea85dc07-577f-49b5-98d1-4bab42ea18e8,30,"7603",Kabupaten Mamasa,A,43,2021-08-27 09:09:02:614198,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:02:614198,c1bbb0d29b3b4864b491bf38851b3821,false,
451,"918f7a19-5ebc-489d-bd56-a5b69c7080b7",30,"7606",Kabupaten Mamuju Tengah,A,43,2021-08-27 09:09:02:630026,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:02:630026,c1bbb0d29b3b4864b491bf38851b3821,false,
452,"263741dc-60c7-44b6-be74-597ec5e87304",31,"8101",Kabupaten Kepulauan Tanimbar,A,43,2021-08-27 09:09:02:635025,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:02:635025,c1bbb0d29b3b4864b491bf38851b3821,false,
455,"1abee0bd-b83d-4ee5-91a4-ab654c940482",31,"8104",Kabupaten Buru,A,43,2021-08-27 09:09:02:648142,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:02:648142,c1bbb0d29b3b4864b491bf38851b3821,false,
458,"3e47ce34-9b6b-4e54-bf47-0a0d787979f6",31,"8107",Kabupaten Seram Bagian Timur,A,43,2021-08-27 09:09:02:660045,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:02:660045,c1bbb0d29b3b4864b491bf38851b3821,false,
463,dddb97cc-f2a0-43c6-95e9-f6bb4f550128,32,"8201",Kabupaten Halmahera Barat,A,43,2021-08-27 09:09:02:684174,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:02:684174,c1bbb0d29b3b4864b491bf38851b3821,false,
466,"50c84bcb-3744-4611-99ef-dd380865a4dc",32,"8204",Kabupaten Halmahera Selatan,A,43,2021-08-27 09:09:02:695988,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:02:695988,c1bbb0d29b3b4864b491bf38851b3821,false,
469,"7ac17b26-4cb8-4b82-94b3-9b1213a0ba3d",32,"8207",Kabupaten Pulau Morotai,A,43,2021-08-27 09:09:02:708002,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:02:708002,c1bbb0d29b3b4864b491bf38851b3821,false,
472,"01f2f25e-10be-4b5a-abe7-70e91e38bb6b",32,"8272",Kota Tidore Kepulauan,A,43,2021-08-27 09:09:02:723175,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:02:723175,c1bbb0d29b3b4864b491bf38851b3821,false,
475,c04bee87-a5fb-4622-bbad-7ffc69ebcd4f,33,"9103",Kabupaten Teluk Wondama,A,43,2021-08-27 09:09:52:845721,c1bbb0d29b3b4864b491bf38851b3821,43,2021-08-27 09:09:52:845721,c1bbb0d29b3b4864b491bf38851b3821,false,
